GARCIA,1.482.036
GONZALEZ,934.123
RODRIGUEZ,932.020
FERNANDEZ,926.559
LOPEZ,878.383
MARTINEZ,840.420
SANCHEZ,822.253
PEREZ,784.896
GOMEZ,495.190
MARTIN,493.329
JIMENEZ,392.017
RUIZ,369.602
HERNANDEZ,359.726
DIAZ,340.593
MORENO,319.989
ALVAREZ,285.003
MUÑOZ,283.237
ROMERO,220.238
ALONSO,199.925
GUTIERREZ,195.651
NAVARRO,178.782
TORRES,169.090
DOMINGUEZ,158.787
VAZQUEZ,149.097
RAMOS,145.094
GIL,141.593
RAMIREZ,134.972
SERRANO,132.604
BLANCO,124.496
MOLINA,121.279
SUAREZ,120.943
MORALES,120.197
ORTEGA,118.112
DELGADO,117.092
CASTRO,116.150
ORTIZ,107.573
RUBIO,105.409
MARIN,104.965
SANZ,94.702
NUÑEZ,90.547
IGLESIAS,90.333
MEDINA,87.318
GARRIDO,85.921
SANTOS,84.246
CASTILLO,83.670
CORTES,83.236
LOZANO,80.007
GUERRERO,78.900
CANO,77.650
PRIETO,74.448
MENDEZ,72.546
CALVO,70.958
CRUZ,70.131
GALLEGO,70.086
VIDAL,69.827
LEON,69.000
HERRERA,68.720
MARQUEZ,68.554
PEÑA,68.480
CABRERA,67.838
FLORES,67.708
CAMPOS,65.959
VEGA,64.911
DIEZ,64.211
FUENTES,64.116
CARRASCO,63.106
CABALLERO,60.839
NIETO,60.587
REYES,59.490
AGUILAR,59.282
PASCUAL,58.828
HERRERO,58.336
SANTANA,57.581
LORENZO,56.938
HIDALGO,56.499
MONTERO,56.339
IBAÑEZ,55.766
GIMENEZ,55.764
FERRER,55.267
DURAN,53.818
VICENTE,52.984
BENITEZ,52.706
SANTIAGO,52.645
ARIAS,52.553
MORA,52.550
VARGAS,52.021
CARMONA,51.591
CRESPO,50.154
ROMAN,48.878
PASTOR,48.614
SOTO,48.181
SAEZ,47.615
VELASCO,47.276
SOLER,46.252
MOYA,46.188
ESTEBAN,45.637
PARRA,45.354
BRAVO,45.228
GALLARDO,44.843
ROJAS,44.336
PARDO,43.903
MERINO,43.413
FRANCO,42.406
ESPINOSA,41.673
LARA,41.590
IZQUIERDO,41.568
RIVAS,41.324
RIVERA,40.834
SILVA,40.601
CASADO,40.563
ARROYO,40.329
REDONDO,40.324
CAMACHO,40.256
VERA,40.066
REY,39.976
OTERO,39.431
LUQUE,39.333
GALAN,39.333
MONTES,39.232
RIOS,39.119
SIERRA,39.068
SEGURA,38.673
CARRILLO,38.216
MARCOS,37.910
MARTI,37.418
SORIANO,36.969
MENDOZA,36.742
BERNAL,36.528
ROBLES,36.451
VILA,36.215
VALERO,35.823
PALACIOS,35.229
EXPOSITO,35.192
BENITO,34.928
VARELA,34.804
ANDRES,34.758
MACIAS,34.746
PEREIRA,34.589
GUERRA,34.580
HEREDIA,34.335
BUENO,34.058
ROLDAN,33.854
MATEO,33.789
VILLAR,33.446
CONTRERAS,33.292
MIRANDA,32.916
GUILLEN,32.457
MATEOS,32.294
ESCUDERO,31.933
AGUILERA,31.732
CASAS,31.548
MENENDEZ,31.528
APARICIO,31.169
RIVERO,30.869
ESTEVEZ,30.614
BELTRAN,30.559
PADILLA,30.523
CALDERON,30.354
RICO,30.308
GRACIA,30.222
GALVEZ,30.119
ABAD,30.038
CONDE,29.855
SALAS,29.735
JURADO,29.667
QUINTANA,29.571
PLAZA,29.489
ACOSTA,29.308
ARANDA,29.252
BLAZQUEZ,29.139
BERMUDEZ,28.941
ROCA,28.878
SALAZAR,28.677
COSTA,28.660
SANTAMARIA,28.605
MIGUEL,28.551
GUZMAN,28.471
SERRA,28.299
VILLANUEVA,28.110
MANZANO,27.895
CUESTA,27.859
TOMAS,27.716
HURTADO,27.655
RUEDA,27.589
TRUJILLO,27.552
AVILA,27.333
PACHECO,27.247
SIMON,27.188
DE LA FUENTE,26.935
PONS,26.764
LAZARO,26.707
MESA,26.588
SANCHO,26.585
DEL RIO,26.461
ESCOBAR,26.170
MILLAN,25.987
BLASCO,25.863
ALARCON,25.859
LUNA,25.850
ZAMORA,25.606
CASTAÑO,25.553
SALVADOR,25.374
BERMEJO,25.049
PAREDES,25.011
ANTON,24.836
BALLESTEROS,24.806
VALVERDE,24.758
MALDONADO,24.642
BAUTISTA,24.118
VALLE,24.026
PONCE,23.931
OLIVA,23.668
RODRIGO,23.667
LORENTE,23.665
CORDERO,23.500
JUAN,23.477
DE LA CRUZ,23.279
MAS,23.260
COLLADO,23.243
MURILLO,23.139
POZO,23.054
MONTOYA,23.044
CUENCA,23.006
CUEVAS,22.904
MARTOS,22.815
MARCO,22.409
BARROSO,22.388
ROS,22.269
QUESADA,22.247
DE LA TORRE,22.222
BARRERA,22.196
ORDOÑEZ,22.036
GIMENO,21.874
ALBA,21.736
CORRAL,21.719
PUIG,21.621
CABELLO,21.592
PULIDO,21.508
ROJO,21.419
NAVAS,21.413
SAIZ,21.372
ARENAS,21.365
AGUADO,21.311
SORIA,21.309
DOMINGO,21.280
GALINDO,21.127
MENA,21.052
ESCRIBANO,21.045
VALLEJO,21.037
VALENCIA,20.977
ASENSIO,20.953
RAMON,20.882
LUCAS,20.740
CARO,20.719
POLO,20.643
CHEN,20.458
AGUIRRE,20.441
NARANJO,20.315
AMADOR,20.315
VILLALBA,20.257
MATA,20.248
REINA,20.208
PAZ,20.091
MORAN,19.988
LINARES,19.922
